trait,trunk,series,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$\Delta P_0$,-1.8786996705121366,-2.640829875888045,0.582425071625631,36.41746449572181,3.8971735210709246,20.712778342673403,14.601284466238038,10.241656621561376
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",-1.8786996705121366,-1.2578097607002574,0.10714152311666636,38.17458225417789,4.546212923247187,20.234039710835262,14.092762640439114,10.57403280294339
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",-1.8786996705121366,0.1185700948742987,0.8600398717003017,41.31625993758439,6.838259343324396,23.26236416827627,17.00524126290354,12.503147858307296
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",-1.8786996705121366,-22.09638799176133,-4.303032157471952,7.017389145564154,-11.633515483674573,-5.4764415697132,-5.290151792610757,-6.237262788597114
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",-1.8786996705121366,-23.254530753770013,-3.8900494993081747,4.487143588038624,-11.798575545082034,-7.340018860034869,-5.909416876932349,-7.083449659657278
Evil,B: I drivers,$\Delta P_0$,-1.8786996705121366,23.544134942384034,19.29949638501446,-3.617358724140611,11.227179123967453,9.52077809100363,-1.9121974966711588,8.026190378720809
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",-1.8786996705121366,27.527108756356114,19.910714067308014,-3.39184634884766,11.59103073243651,8.899266429818004,-3.951104035037371,8.386638561645924
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",-1.8786996705121366,27.007473478293427,19.89729737063874,-3.3500409404723164,12.782761057401018,10.741679475357845,-2.719155510062597,8.925902180091997
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",-1.8786996705121366,3.5131060162736976,4.211992611142787,-9.288541718561794,-2.6276088429224242,-5.497630628328089,-7.306227653425379,-2.696229983761906
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",-1.8786996705121366,2.9447147759434347,3.7584106875129404,-8.863230216111887,-2.631272957259822,-5.4831687292161,-6.961588853184804,-2.7306907089754824
Evil,C: Normal only (control),$\Delta P_0$,-1.8786996705121366,0.46301156089744033,-0.379249592664487,0.6207908941845122,-0.44650449507836276,0.05896001708857046,0.532808687936118,-0.1469832283069065
Evil,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",-1.8786996705121366,-0.9562792595709515,-1.7579933949568771,-0.8547792812881831,-2.445540478271735,-2.8982760902481677,-2.742356045154061,-1.9334177457145874
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",-1.8786996705121366,-1.5542158658169583,-2.1702205673864308,-1.2683504182568495,-2.4377056148715077,-2.279672896382881,-1.4417448174602294,-1.8615156929552847
Evil,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",-1.8786996705121366,-3.223335975012468,-5.59800024687632,-5.964580580065354,-7.049457733874833,-5.260078016513066,-4.743532589814381,-4.816812116095508
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",-1.8786996705121366,-3.055739182125787,-5.496706436200455,-5.876511721349443,-6.814242943946079,-5.214100370318029,-4.54198862789268,-4.696855564620658
Sycophancy,A: II drivers,$\Delta P_0$,3.1582199599517486,43.32232993448491,5.153730191327007,35.30112786352671,18.154763696642892,52.880328080253506,49.33544908406705,29.615135544321976
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",3.1582199599517486,45.68342555918318,3.267073858459714,32.45296808428904,14.993832506653114,53.43895878510491,48.506993606304825,28.785924622849507
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",3.1582199599517486,50.87966717052947,4.771884317879068,44.68389626944524,23.92470994874689,63.53702190716948,58.66688981429017,35.660327055430294
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",3.1582199599517486,12.288328920539325,-7.555195668289048,7.310652861083528,-1.1498520809389299,9.384460689263364,18.009174460491664,5.920827020300236
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",3.1582199599517486,9.882216983648137,-7.3819644853239925,-1.1606174064804553,-0.2108239461042163,2.542775370876365,15.17193423691413,3.1431058162116736
Sycophancy,B: I drivers,$\Delta P_0$,3.1582199599517486,15.989160972302122,15.430449646550139,-1.4655134468400406,10.213053905311892,17.948964192071323,3.3706324202201343,9.234995378509618
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",3.1582199599517486,19.514835508031293,15.754157046057566,-4.8564553253976825,8.417236550271069,15.543222281700768,-3.885359690880354,7.66369376139063
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",3.1582199599517486,21.01123158554131,17.76601927150176,-4.96078755212178,11.455615454921833,19.477891548312243,-3.6228412784162805,9.18362128424155
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",3.1582199599517486,-10.157688768428976,-4.750913001606769,-9.489709860504489,-6.944518569584048,-1.7712852030535657,-4.708246419090748,-4.952020266045264
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",3.1582199599517486,-10.01120793081425,-4.453207475623395,-8.765526332458581,-6.528604742625321,-1.7416297730564745,-4.070403040772533,-4.630337047914115
Sycophancy,C: Normal only (control),$\Delta P_0$,3.1582199599517486,4.909540652384143,2.9743974487954032,3.112005894738529,4.819774023411197,3.305873179272261,4.142816669286153,3.7746611182627765
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",3.1582199599517486,1.0696452504482084,-2.482812154048345,-2.8603577315360202,-2.087198307161725,-5.334941577382444,-3.637256304220428,-1.7392429805641434
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",3.1582199599517486,-0.7415624804013414,-4.083059163247564,-4.927276870312465,-3.255517567246839,-5.2313710472337895,-1.7940252537272658,-2.4106560603167884
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",3.1582199599517486,-8.006442784984918,-6.247837800198425,-8.253447601625039,-6.902450189702492,-5.350239441439855,-4.932843820991231,-5.219291668427173
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",3.1582199599517486,-8.853269823052901,-7.109845402469492,-9.128576489538442,-7.181250149040924,-5.456527083967102,-4.679402683029555,-5.607235953020953
